sname,date,location,town,province,country,seen,heard,ringed,dead,photo,male,female,adult,immature,breeding,eggs,nonbreeding,nest,chicks,comments
Anas undulata,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Bostrychia hagedash,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Burhinus capensis,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,true,true,false,false,false,false,false,false,Lifer:
Columba arquatrix,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,true,false,false,false,Lifer:
Euplectes orix,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,true,false,true,false,false,false,false,false,false,Lifer:
Lanius collaris,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,true,true,false,false,false,false,false,false,Lifer:
Passer domesticus,2001.09.01,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,false,true,false,false,false,Lifer:
Upupa africana,2001.09.01,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Vanellus armatus,2001.09.01,Delta Park,Randburg,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Acridotheres tristis,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,false,true,false,false,false,false,Lifer:
Corythaixoides concolor,2001.09.16,Random Harvest,Roodepoort,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Lamprotornis nitens,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
Lanius collaris,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,true,true,true,true,true,true,false,false,false,
Larus cirrocephalus,2001.09.16,Garden Oudekraal,Midrand,Gauteng,SOUTH AFRICA,true,true,false,false,false,false,false,true,false,false,false,false,false,false,Lifer:
